%	I.id	Rstop.x	Rstop.y	Rstop.z
2	8.708929e+02	8.924083e+02	4.056386e+02
1	8.718139e+02	8.971376e+02	4.092029e+02
1	8.807014e+02	8.735473e+02	4.311116e+02
2	8.800016e+02	8.792720e+02	4.313429e+02
1	8.843758e+02	8.782408e+02	4.393761e+02
2	8.802184e+02	8.638445e+02	4.357478e+02
2	8.787300e+02	8.667569e+02	4.343078e+02
2	8.891814e+02	8.703505e+02	4.401771e+02
1	8.850219e+02	8.659806e+02	4.416477e+02
1	8.918570e+02	8.677702e+02	4.374186e+02
1	8.807838e+02	8.697872e+02	4.241807e+02
1	8.836277e+02	8.689362e+02	4.178157e+02
2	8.749999e+02	8.782536e+02	4.245861e+02
1	8.739090e+02	8.828403e+02	4.247015e+02
1	8.639189e+02	8.666093e+02	4.161099e+02
2	8.630990e+02	8.745201e+02	4.066633e+02
1	8.592900e+02	8.746525e+02	4.106222e+02
2	8.650325e+02	8.614048e+02	3.366914e+02
2	8.722649e+02	8.700842e+02	3.345661e+02
1	8.700946e+02	8.675340e+02	3.329286e+02
1	8.652673e+02	8.594904e+02	3.273594e+02
1	8.655035e+02	8.557845e+02	3.273763e+02
2	8.698102e+02	8.623977e+02	3.227082e+02
1	8.721846e+02	8.623724e+02	3.225839e+02
1	8.617648e+02	8.562541e+02	3.061977e+02
1	8.574586e+02	8.568581e+02	3.075040e+02
1	8.681224e+02	8.477969e+02	2.514858e+02
1	8.633442e+02	8.445133e+02	2.192733e+02
1	8.608522e+02	8.452653e+02	2.172414e+02
2	8.955581e+02	8.288803e+02	8.226752e-01
2	8.898817e+02	8.329480e+02	7.682568e-01
1	8.922908e+02	8.342195e+02	-4.658319e+00
1	8.897259e+02	8.349505e+02	-7.420927e+00
1	8.933819e+02	8.230948e+02	6.909538e+00
